article_id,start_char,end_char,source_file
111111111,265,323,train-task1-SI.labels
111111111,1795,1935,train-task1-SI.labels
111111111,149,157,train-task1-SI.labels
111111111,1069,1091,train-task1-SI.labels
111111111,1334,1462,train-task1-SI.labels
111111111,1577,1616,train-task1-SI.labels
111111111,2023,2086,train-task1-SI.labels
111111112,191,219,train-task1-SI.labels
111111112,476,556,train-task1-SI.labels
111111112,785,798,train-task1-SI.labels
111111112,958,1013,train-task1-SI.labels
111111112,1456,1535,train-task1-SI.labels
111111112,1810,1824,train-task1-SI.labels
111111112,2095,2123,train-task1-SI.labels
111111112,911,942,train-task1-SI.labels
111111112,1738,1787,train-task1-SI.labels
111111113,1396,1430,train-task1-SI.labels
111111113,3082,3099,train-task1-SI.labels
111111113,3828,3985,train-task1-SI.labels
111111113,361,467,train-task1-SI.labels
111111113,3580,3741,train-task1-SI.labels
111111113,4865,5006,train-task1-SI.labels
111111113,5743,5773,train-task1-SI.labels
111111113,5775,5791,train-task1-SI.labels
111111113,259,279,train-task1-SI.labels
111111113,5556,5579,train-task1-SI.labels
111111114,1705,1824,train-task1-SI.labels
111111115,658,700,train-task1-SI.labels
111111115,1870,1893,train-task1-SI.labels
111111115,1655,1745,train-task1-SI.labels
111111115,2389,2418,train-task1-SI.labels
111111117,671,753,train-task1-SI.labels
111111122,24,49,train-task1-SI.labels
111111122,170,205,train-task1-SI.labels
111111122,343,356,train-task1-SI.labels
111111122,449,477,train-task1-SI.labels
111111122,888,956,train-task1-SI.labels
111111122,1475,1522,train-task1-SI.labels
111111122,1636,1655,train-task1-SI.labels
111111122,3210,3224,train-task1-SI.labels
111111122,3413,3440,train-task1-SI.labels
111111122,3489,3519,train-task1-SI.labels
111111122,3991,4046,train-task1-SI.labels
111111122,4449,4468,train-task1-SI.labels
111111122,5027,5059,train-task1-SI.labels
111111122,5131,5140,train-task1-SI.labels
111111122,5529,5653,train-task1-SI.labels
111111122,5778,5797,train-task1-SI.labels
111111122,5840,5921,train-task1-SI.labels
111111122,5950,5981,train-task1-SI.labels
111111122,6441,6451,train-task1-SI.labels
111111122,6839,6868,train-task1-SI.labels
111111123,4321,4333,train-task1-SI.labels
111111124,2650,2661,train-task1-SI.labels
111111124,4098,4110,train-task1-SI.labels
111111124,4622,4760,train-task1-SI.labels
111111124,3368,3380,train-task1-SI.labels
111111124,0,17,train-task1-SI.labels
111111124,107,122,train-task1-SI.labels
111111124,282,338,train-task1-SI.labels
111111124,510,540,train-task1-SI.labels
111111124,2478,2501,train-task1-SI.labels
111111124,3557,3590,train-task1-SI.labels
111111124,4170,4377,train-task1-SI.labels
111111124,4540,4575,train-task1-SI.labels
111111124,4920,4935,train-task1-SI.labels
111111124,4144,4164,train-task1-SI.labels
111111131,84,97,train-task1-SI.labels
111111131,102,109,train-task1-SI.labels
111111131,180,190,train-task1-SI.labels
111111131,207,214,train-task1-SI.labels
111111131,326,336,train-task1-SI.labels
111111131,352,365,train-task1-SI.labels
111111131,382,395,train-task1-SI.labels
111111131,398,413,train-task1-SI.labels
111111131,723,731,train-task1-SI.labels
111111131,804,811,train-task1-SI.labels
111111131,823,865,train-task1-SI.labels
111111131,1031,1068,train-task1-SI.labels
111111131,1191,1201,train-task1-SI.labels
111111131,1977,1992,train-task1-SI.labels
111111131,2660,2671,train-task1-SI.labels
111111131,2728,2739,train-task1-SI.labels
111111131,2897,2908,train-task1-SI.labels
111111131,2912,2923,train-task1-SI.labels
111111131,2953,2997,train-task1-SI.labels
111111131,3396,3416,train-task1-SI.labels
111111131,3437,3445,train-task1-SI.labels
111111131,3738,3748,train-task1-SI.labels
111111131,4008,4014,train-task1-SI.labels
111111131,4030,4038,train-task1-SI.labels
111111131,4152,4169,train-task1-SI.labels
111111131,4224,4230,train-task1-SI.labels
111111131,4256,4264,train-task1-SI.labels
111111131,4339,4352,train-task1-SI.labels
111111131,4531,4546,train-task1-SI.labels
111111131,4635,4643,train-task1-SI.labels
111111131,4752,4768,train-task1-SI.labels
111111131,4882,4899,train-task1-SI.labels
111111131,5174,5186,train-task1-SI.labels
111111131,5244,5262,train-task1-SI.labels
111111131,5281,5289,train-task1-SI.labels
111111131,5369,5378,train-task1-SI.labels
111111131,5904,5916,train-task1-SI.labels
111111131,5938,5950,train-task1-SI.labels
111111131,6920,6937,train-task1-SI.labels
111111131,6957,6971,train-task1-SI.labels
111111131,7314,7324,train-task1-SI.labels
111111131,7700,7708,train-task1-SI.labels
